Unique ID,TV Show Title,IMDB Rating,Start Year,End Year,TV Rating,Episode Run Time (min),Top Genres,Total Occ
tt16970040,Weird Waters,8.1,2022, ,,,"[' Action', ' Adventure']",0.0
tt14741708,Frankelda's Book of Spooks,8.8,2021, ,TV-Y7,12,"[' Short', ' Comedy']",0.0
tt18183882,Extreme Hearts,6.4,2022, ,,,"[' Music', ' Sport']",0.0
tt5853222,Sweetness and Lightning,7.2,2016, ,TV-PG,24,"[' Comedy', ' Drama']",0.0
tt2070443,SheZow,5.4,2012,2013,,30,"[' Action', ' Adventure']",0.0
tt7252220,Mysticons,5.2,2017,2018,TV-Y7,22,"[' Action', ' Adventure']",0.0
tt3488064,Capeta,8.4,2005,2006,,30,[' Sport'],0.0
tt5446578,Space Patrol Luluco,7.0,2016),(2016,TV-14,8,"[' Comedy', ' Fantasy']",0.0
tt14872744,Presto! School of Magic,6.4,2021),(2021,,11,"[' Action', ' Comedy']",0.0
tt0346326,Little People: Big Discoveries,6.4,1999, ,TV-G,5,"[' Adventure', ' Family']",0.0
tt0928094,Kemonozume,7.6,2006, ,,,"[' Action', ' Drama']",0.0
tt6300838,Tiger Mask W,7.0,2016, ,,23,"[' Action', ' Drama']",0.0
tt1356884,White Album,6.4,2009),(2009,TV-PG,,"[' Drama', ' Romance']",0.0
tt2304700,Very Private Lesson,5.3,1998, ,Not Rated,40,"[' Short', ' Comedy']",0.0
tt14438518,Taarak Mehta Kka Chhota Chashmah,6.6,2021, ,,,[' Comedy'],0.0
tt1264469,Invincible,8.7,2008, ,,,[],0.0
tt2074708,Hungry Heart: Wild Striker,8.1,2002,2003,,30,[' Sport'],0.0
tt0429363,Get Backers,7.4,2002,2003,TV-PG,24,"[' Action', ' Adventure']",0.0
tt2198397,Black Rock Shooter,6.4,2012),(2012,TV-14,,"[' Action', ' Drama']",0.0
tt2419116,YooHoo and Friends,6.5,2011, ,TV-Y,,"[' Comedy', ' Family']",0.0
tt7316232,Kody Kapow,4.5,2017, ,,,"[' Action', ' Adventure']",0.0
tt14743640,The Daily Object Show,5.3,2020,2022,TV-PG,,[],0.0
tt1566464,New Captain Tsubasa,7.6,1989,1990,,30,"[' Drama', ' Sport']",0.0
tt11597332,An Egg's Guide to Minecraft,7.5,2012,2020,Not Rated,7,"[' Short', ' Comedy']",0.0
tt6443326,Cat & Keet,6.6,2015, ,TV-Y,7,[],0.0
tt3519246,Blade & Soul,6.0,2014),(2014,TV-MA,24,"[' Adventure', ' Fantasy']",0.0
tt8456280,Yabba-Dabba Dinosaurs!,4.9,2020),(2020,TV-Y7-FV,22,"[' Short', ' Adventure']",0.0
tt1238937,Blue Dragon,6.3,2007,2008,,,"[' Action', ' Adventure']",0.0
tt3213642,Gundam Build Fighters,7.3,2013,2014,TV-14,25,"[' Action', ' Comedy']",0.0
tt2341171,Medaka Box,6.4,2012, ,TV-14,24,"[' Action', ' Comedy']",0.0
tt9872610,Confinement,8.5,2017, ,TV-MA,,"[' Comedy', ' Fantasy']",0.0
tt5468690,DC Super Friends,6.7,2015, ,,,[],0.0
tt4595916,LBX: Little Battlers eXperience,7.0,2011, ,,,[' Action'],0.0
tt3117648,The Ranch,7.7,2012, ,,25,[' Family'],0.0
tt0398615,Zeroman,6.5,2004, ,,,[' Comedy'],0.0
tt0290117,The Ripping Friends,6.3,2001,2002,TV-PG,30,[' Comedy'],0.0
tt0478074,G.I. Joe: Sigma 6,4.8,2005,2006,TV-Y7-FV,30,"[' Action', ' Adventure']",0.0
tt1364483,Gormiti: The Lords of Nature Return!,5.3,2008,2010,,26,"[' Action', ' Adventure']",0.0
tt3209190,Neppû Kairiku Bushi Road,7.0,2013, ,,90,"[' Action', ' Fantasy']",0.0
tt1352414,Samurai Harem,5.9,2009),(2009,TV-14,24,"[' Comedy', ' Drama']",0.0
tt13898130,Dolls' Frontline,6.1,2022, ,,,"[' Action', ' Sci-Fi']",0.0
tt6188134,Teknoman,8.5,1995),(1995,TV-Y7,,"[' Action', ' Drama']",0.0
tt14489130,Deaimon,7.1,2022, ,PG-13,24,"[' Comedy', ' Drama']",0.0
tt0972661,Kashimashi: Girl Meets Girl,6.8,2006),(2006,,24,"[' Comedy', ' Fantasy']",0.0
tt9573854,Lord El-Melloi II's Case Files: Rail Zeppelin Grace Note,6.9,2018, ,,23,"[' Action', ' Fantasy']",0.0
tt10340828,Miniforce X,6.3,2019, ,,,[],0.0
